ID_REF,GSM701542,GSM701543,GSM701544,GSM701545,no mutation,mutation,log 2 fold change,fold change
1007_s_at,615.5254,739.778,720.9004,735.8475,677.6517,728.37395,0.1041353796,1.07485003
1053_at,319.8712,654.39166,319.8714,319.8715,487.13143,319.87145,-0.6068188387,0.6566430132
117_at,20.04304,32.151443,14.417517,24.944078,26.0972415,19.6807975,-0.4071086384,0.7541332481
121_at,239.84415,171.0296,137.31161,176.75978,205.436875,157.035695,-0.387602634,0.7643987721
1255_g_at,155.14342,335.75186,177.99786,128.04279,245.44764,153.020325,-0.6816920028,0.6234336782
1294_at,33.845062,25.049202,25.495499,24.159325,29.447132,24.827412,-0.2461932464,0.8431181685
1316_at,116.03921,95.59142,82.844826,107.9843,105.815315,95.414563,-0.1492670638,0.9017084436
1320_at,32.693424,31.010353,46.240147,62.07887,31.8518885,54.1595085,0.765835734,1.700354706
1405_i_at,1.288557,1.8071154,54.922756,14.449744,1.5478362,34.68625,4.486039165,22.40950948
1431_at,73.760414,13.58988,10.290121,2.302991,43.675147,6.296556,-2.794177714,0.1441679406
1438_at,6.0257726,5.87526,15.351974,25.699623,5.9505163,20.5257985,1.786351592,3.449414717
1487_at,198.47375,241.65831,208.54799,217.85095,220.06603,213.19947,-0.04573261237,0.9687977286
1494_f_at,62.79215,48.07859,42.958435,64.48842,55.43537,53.7234275,-0.04525541745,0.9691182272
1552256_a_at,221.25519,286.82523,175.18651,233.10355,254.04021,204.14503,-0.3154624228,0.803593376
1552257_a_at,605.1084,963.9861,806.31885,696.185,784.54725,751.251925,-0.06256355472,0.9575610965
1552258_at,123.063225,21.909744,29.113232,24.54702,72.4864845,26.830126,-1.433858192,0.3701397051
1552261_at,41.625687,41.87436,34.431034,18.228756,41.7500235,26.329895,-0.6650752415,0.6306558127
1552263_at,334.0214,331.8891,298.94174,183.61017,332.95525,241.275955,-0.4646441415,0.724649799
1552264_a_at,271.5296,303.37772,228.71674,177.80229,287.45366,203.259515,-0.5000065105,0.7071035902
1552266_at,9.88116,1.1473823,1.1558743,10.64751,5.51427115,5.90169215,0.09795845754,1.07025788
1552269_at,13.588038,9.916899,23.550587,2.5513043,11.7524685,13.05094565,0.1511905322,1.110485482
1552271_at,1.4697102,2.2689579,2.466512,5.3705544,1.86933405,3.9185332,1.067789319,2.096218811
1552272_a_at,42.56375,21.269577,33.792965,26.48347,31.9166635,30.1382175,-0.08271575073,0.9442784488
1552274_at,69.98272,66.21023,69.752464,34.90963,68.096475,52.331047,-0.3799129958,0.768483934
1552275_s_at,4.3170905,4.6693177,18.894548,2.0536494,4.4932041,10.4740987,1.221009603,2.331097913
1552276_a_at,17.64621,7.857388,28.705809,2.9575872,12.751799,15.8316981,0.3121152124,1.241526635
1552277_a_at,534.18384,572.0672,635.75305,370.56912,553.12552,503.161085,-0.1365865594,0.909668903
1552278_a_at,21.891127,26.518497,28.277782,29.155958,24.204812,28.71687,0.2466046222,1.186411611
1552279_a_at,136.12822,94.37908,100.5959,90.250465,115.25365,95.4231825,-0.2724007323,0.8279406552
1552280_at,4.40838,3.6826103,3.8834534,12.826875,4.04549515,8.3551642,1.046351888,2.065300758
1552281_at,70.997406,54.216827,27.73402,63.0554,62.6071165,45.39471,-0.4638024713,0.725072684
1552283_s_at,66.56871,47.344345,53.89074,33.84284,56.9565275,43.86679,-0.376732052,0.7701802045
1552286_at,171.1428,77.69238,135.6005,118.22941,124.41759,126.914955,0.02867161263,1.020072443
1552287_s_at,287.96225,193.18849,238.50769,117.97533,240.57537,178.24151,-0.4326555877,0.740896751
1552288_at,33.669144,55.315166,30.33313,25.215418,44.492155,27.774274,-0.6798017768,0.6242510393
1552289_a_at,28.39613,115.75379,46.42764,48.201443,72.07496,47.3145415,-0.6072144861,0.6564629588
1552291_at,215.4438,187.79666,158.88667,77.03215,201.62023,117.95941,-0.7733498904,0.5850574121
1552293_at,12.773215,1.4572283,16.994732,1.4089751,7.11522165,9.20185355,0.3710157961,1.293263092
